longitude,latitude,crs,lit,name,osm,light:method,light:direction,height,support
11.0549072,49.4108951,EPSG:4326,no,Donaustraße,n1591572394,,,,
11.0335973,49.5187011,EPSG:4326,yes,Moosäckerstraße,n1606428858,,,,
11.1363206,49.4470134,EPSG:4326,yes,Akademie der bildenden Künste,n1705484234,,,,
11.1321521,49.4459786,EPSG:4326,yes,Wohnstift am Tiergarten,n1705484235,,,,
11.1473897,49.4149884,EPSG:4326,,,n1740916767,,,,
11.1470881,49.4152042,EPSG:4326,,,n1740916779,,,,
11.1473622,49.4152408,EPSG:4326,,,n1740916780,,,,
11.147257,49.4153164,EPSG:4326,,,n1740916781,,,,
11.1474902,49.4153175,EPSG:4326,,,n1740916782,,,,
11.1471614,49.4153843,EPSG:4326,,,n1740916783,,,,
11.1476214,49.4153965,EPSG:4326,,,n1740916784,,,,
11.1467894,49.4154148,EPSG:4326,,,n1740916787,,,,
11.1477526,49.4154779,EPSG:4326,,,n1740916796,,,,
11.1464111,49.4154985,EPSG:4326,,,n1740916801,,,,
11.1462787,49.4155221,EPSG:4326,,,n1740916812,,,,
11.1476654,49.415541,EPSG:4326,,,n1740916818,,,,
11.1478851,49.415558,EPSG:4326,,,n1740916822,,,,
11.1475923,49.415593,EPSG:4326,,,n1740916830,,,,
11.1461486,49.4156181,EPSG:4326,,,n1740916837,,,,
11.1464993,49.4156214,EPSG:4326,,,n1740916838,,,,
11.1475178,49.4156478,EPSG:4326,,,n1740916841,,,,
11.1480347,49.4156486,EPSG:4326,,,n1740916842,,,,
11.1467537,49.4156706,EPSG:4326,,,n1740916846,,,,
11.1481748,49.415732,EPSG:4326,,,n1740916860,,,,
11.146879,49.4157467,EPSG:4326,,,n1740916862,,,,
11.147563,49.4157631,EPSG:4326,,,n1740916864,,,,
11.1462384,49.4158083,EPSG:4326,,,n1740916869,,,,
11.1470138,49.4158276,EPSG:4326,,,n1740916876,,,,
11.147676,49.4158278,EPSG:4326,,,n1740916878,,,,
11.1472271,49.4158554,EPSG:4326,,,n1740916881,,,,
11.1477859,49.4158945,EPSG:4326,,,n1740916885,,,,
11.1464241,49.4159059,EPSG:4326,,,n1740916888,,,,
11.1478982,49.4159643,EPSG:4326,,,n1740916897,,,,
11.1460147,49.4159668,EPSG:4326,,,n1740916898,,,,
11.1472591,49.4159752,EPSG:4326,,,n1740916901,,,,
11.1465612,49.4159898,EPSG:4326,,,n1740916903,,,,
11.1480005,49.4160231,EPSG:4326,,,n1740916908,,,,
11.1473726,49.4160446,EPSG:4326,,,n1740916918,,,,
11.1466853,49.4160632,EPSG:4326,,,n1740916921,,,,
11.1474831,49.4161109,EPSG:4326,,,n1740916929,,,,
11.1468355,49.4161543,EPSG:4326,,,n1740916934,,,,
11.1475961,49.416176,EPSG:4326,,,n1740916938,,,,
11.1469602,49.4162277,EPSG:4326,,,n1740916948,,,,
11.1476965,49.4162375,EPSG:4326,,,n1740916950,,,,
11.1471127,49.4163188,EPSG:4326,,,n1740916956,,,,
11.1465557,49.4146519,EPSG:4326,,,n1741948085,,,,
11.1452329,49.4146522,EPSG:4326,,,n1741948087,,,,
11.146384,49.4147626,EPSG:4326,,,n1741948101,,,,
11.1462021,49.4148781,EPSG:4326,,,n1741948117,,,,
11.1460011,49.4150111,EPSG:4326,,,n1741948124,,,,
11.1223774,49.4489932,EPSG:4326,yes,Passauer Straße,n1764539870,,,,
11.0543452,49.4658081,EPSG:4326,yes,Nordwestring,n1781107757,,,,
11.0287488,49.4696277,EPSG:4326,yes,Schniegling,n1832479027,,,,
11.0345901,49.4677706,EPSG:4326,yes,Brettergartenstraße,n1832595076,,,,
11.0308711,49.4688578,EPSG:4326,yes,Frauentaler Weg,n1832595077,,,,
11.0288709,49.4692642,EPSG:4326,yes,Schniegling,n1832595093,,,,
11.0334183,49.5316647,EPSG:4326,,,n1913699382,,,,
11.1007451,49.4546278,EPSG:4326,,,n1916887337,,,,
11.1011934,49.4547615,EPSG:4326,,,n1916887338,,,,
11.1016574,49.4549338,EPSG:4326,,,n1916887339,,,,
11.1021241,49.4551213,EPSG:4326,,,n1916887340,,,,
11.1025858,49.4553023,EPSG:4326,,,n1916887341,,,,
11.1029143,49.4556986,EPSG:4326,,,n1916887342,,,,
11.0721461,49.4575995,EPSG:4326,no,Burgschmietbrunnen,n2031873641,,,,
11.0483607,49.5170742,EPSG:4326,yes,Kriegerdenkmal,n2082978370,,,,
11.1858548,49.4260228,EPSG:4326,no,Am Schlag,n2131007807,,,,
11.1872488,49.4272457,EPSG:4326,no,Am Schlag,n2131007816,,,,
11.0716406,49.4290887,EPSG:4326,no,Vogelweiherstraße,n2190574004,,,,
11.1818481,49.417362,EPSG:4326,yes,Am Hartgraben,n2239810076,,,,
11.1127155,49.4146737,EPSG:4326,yes,Neuselsbrunn,n2239810248,,,,
11.1212061,49.4203073,EPSG:4326,no,Eingang Messe Ost,n2326760413,,,,
11.1315455,49.4044106,EPSG:4326,no,Langwasser Mitte,n2330780352,,,,
11.042344,49.4186949,EPSG:4326,yes,Prager Straße,n2397323878,,,,
11.1124985,49.4118461,EPSG:4326,,,n2411986915,electric,,,
11.1124767,49.4119544,EPSG:4326,,,n2411986918,electric,,,
11.0181376,49.4702364,EPSG:4326,yes,Herderstraße,n2419677938,,,,
11.0397258,49.4184242,EPSG:4326,yes,,n2551498280,,,,
11.0560042,49.3866627,EPSG:4326,no,Preßburger Straße,n2637013821,,,,
11.0787112,49.4143263,EPSG:4326,yes,Finkenbrunn,n2638411355,,,,
11.0718522,49.4291002,EPSG:4326,yes,Vogelweiherstraße,n2639415911,,,,
11.1681467,49.4093306,EPSG:4326,yes,Löwenberger Straße,n2658393460,,,,
11.106425,49.4774138,EPSG:4326,yes,Flataustraße,n2661587787,,,,
11.1178147,49.4375588,EPSG:4326,yes,Dutzendteich Bahnhof,n2667806687,,,,
11.1173791,49.4376911,EPSG:4326,yes,Dutzendteich Bahnhof,n2667806693,,,,
11.081415,49.3909455,EPSG:4326,no,Föhrenbuck,n2667895424,,,,
11.0442557,49.4955562,EPSG:4326,,,n2677610838,,,,
11.0380438,49.4914097,EPSG:4326,,,n2677642601,,,,
11.0371349,49.491217,EPSG:4326,,,n2677642619,,,,
11.043776,49.4950133,EPSG:4326,,,n2677642625,,,,
11.0425201,49.4944932,EPSG:4326,,,n2677642627,,,,
11.0434863,49.4947781,EPSG:4326,,,n2677642629,,,,
11.0392379,49.4917083,EPSG:4326,,,n2677642630,,,,
11.0409726,49.4937686,EPSG:4326,,,n2677642635,,,,
11.0430163,49.4946397,EPSG:4326,,,n2677642637,,,,
11.0396964,49.4920725,EPSG:4326,,,n2677642639,,,,
11.0419006,49.494312,EPSG:4326,,,n2677642640,,,,
11.0413807,49.4940899,EPSG:4326,,,n2677642641,,,,
11.0405655,49.4931213,EPSG:4326,,,n2677642643,,,,
11.03994,49.4923453,EPSG:4326,,,n2677642644,,,,
11.038417,49.4914975,EPSG:4326,,,n2677642645,,,,
11.0363839,49.4911647,EPSG:4326,,,n2677642646,,,,
11.0403858,49.4928913,EPSG:4326,,,n2677642649,,,,
11.035126,49.4909766,EPSG:4326,,,n2677642660,,,,
11.0375882,49.4913285,EPSG:4326,,,n2677642683,,,,
